zero =  answer = 0 
one =  answer = 1 
two =  answer = 2 
three =  answer = 3 
four =  answer = 4 
five =  answer = 5 
six =  answer = 6 
seven =  answer = 7 
eight =  answer = 8 
nine =  answer = 9 
ten =  answer = 10 
eleven =  answer = 11 
twelve =  answer = 12 
thirteen =  answer = 13 
fourteen =  answer = 14 
fifteen =  answer = 15 
sixteen =  answer = 16 
seventeen =  answer = 17 
eighteen =  answer = 18 
nineteen =  answer = 19 
twenty =  answer = 20 
twenty-one =  answer = 21 
twenty-two =  answer = 22 
twenty-three =  answer = 23 
twenty-four =  answer = 24 
twenty-five =  answer = 25 
twenty-six =  answer = 26 
twenty-seven =  answer = 27 
twenty-eight =  answer = 28 
twenty-nine =  answer = 29 
thirty =  answer = 30 
thirty-one =  answer = 31 
thirty-two =  answer = 32 
thirty-three =  answer = 33 
thirty-four =  answer = 34 
thirty-five =  answer = 35 
thirty-six =  answer = 36 
thirty-seven =  answer = 37 
thirty-eight =  answer = 38 
thirty-nine =  answer = 39 
forty =  answer = 40 
forty-one =  answer = 41 
forty-two =  answer = 42 
forty-three =  answer = 43 
forty-four =  answer = 44 
forty-five =  answer = 45 
forty-six =  answer = 46 
forty-seven =  answer = 47 
forty-eight =  answer = 48 
forty-nine =  answer = 49 
fifty =  answer = 50 
fifty-one =  answer = 51 
fifty-two =  answer = 52 
fifty-three =  answer = 53 
fifty-four =  answer = 54 
fifty-five =  answer = 55 
fifty-six =  answer = 56 
fifty-seven =  answer = 57 
fifty-eight =  answer = 58 
fifty-nine =  answer = 59 
sixty =  answer = 60 
sixty-one =  answer = 61 
sixty-two =  answer = 62 
sixty-three =  answer = 63 
sixty-four =  answer = 64 
sixty-five =  answer = 65 
sixty-six =  answer = 66 
sixty-seven =  answer = 67 
sixty-eight =  answer = 68 
sixty-nine =  answer = 69 
seventy =  answer = 70 
seventy-one =  answer = 71 
seventy-two =  answer = 72 
seventy-three =  answer = 73 
seventy-four =  answer = 74 
seventy-five =  answer = 75 
seventy-six =  answer = 76 
seventy-seven =  answer = 77 
seventy-eight =  answer = 78 
