zero =  answer = 0 
minus one =  answer = -1 
minus two =  answer = -2 
minus three =  answer = -3 
minus four =  answer = -4 
minus five =  answer = -5 
minus six =  answer = -6 
minus seven =  answer = -7 
minus eight =  answer = -8 
minus nine =  answer = -9 
minus ten =  answer = -10 
minus eleven =  answer = -11 
minus twelve =  answer = -12 
minus thirteen =  answer = -13 
minus fourteen =  answer = -14 
minus fifteen =  answer = -15 
minus sixteen =  answer = -16 
minus seventeen =  answer = -17 
minus eighteen =  answer = -18 
minus nineteen =  answer = -19 
minus twenty =  answer = -20 
minus twenty-one =  answer = -21 
minus twenty-two =  answer = -22 
minus twenty-three =  answer = -23 
minus twenty-four =  answer = -24 
minus twenty-five =  answer = -25 
minus twenty-six =  answer = -26 
minus twenty-seven =  answer = -27 
minus twenty-eight =  answer = -28 
minus twenty-nine =  answer = -29 
minus thirty =  answer = -30 
minus thirty-one =  answer = -31 
minus thirty-two =  answer = -32 
minus thirty-three =  answer = -33 
minus thirty-four =  answer = -34 
minus thirty-five =  answer = -35 
minus thirty-six =  answer = -36 
minus thirty-seven =  answer = -37 
minus thirty-eight =  answer = -38 
minus thirty-nine =  answer = -39 
minus forty =  answer = -40 
minus forty-one =  answer = -41 
minus forty-two =  answer = -42 
minus forty-three =  answer = -43 
minus forty-four =  answer = -44 
minus forty-five =  answer = -45 
minus forty-six =  answer = -46 
minus forty-seven =  answer = -47 
minus forty-eight =  answer = -48 
minus forty-nine =  answer = -49 
minus fifty =  answer = -50 
minus fifty-one =  answer = -51 
minus fifty-two =  answer = -52 
minus fifty-three =  answer = -53 
minus fifty-four =  answer = -54 
minus fifty-five =  answer = -55 
minus fifty-six =  answer = -56 
minus fifty-seven =  answer = -57 
minus fifty-eight =  answer = -58 
minus fifty-nine =  answer = -59 
minus sixty =  answer = -60 
minus sixty-one =  answer = -61 
minus sixty-two =  answer = -62 
minus sixty-three =  answer = -63 
minus sixty-four =  answer = -64 
minus sixty-five =  answer = -65 
minus sixty-six =  answer = -66 
minus sixty-seven =  answer = -67 
minus sixty-eight =  answer = -68 
minus sixty-nine =  answer = -69 
minus seventy =  answer = -70 
minus seventy-one =  answer = -71 
minus seventy-two =  answer = -72 
minus seventy-three =  answer = -73 
minus seventy-four =  answer = -74 
minus seventy-five =  answer = -75 
minus seventy-six =  answer = -76 
minus seventy-seven =  answer = -77 
minus seventy-eight =  answer = -78 
minus seventy-nine =  answer = -79 
minus eighty =  answer = -80 
minus eighty-one =  answer = -81 
minus eighty-two =  answer = -82 
minus eighty-three =  answer = -83 
minus eighty-four =  answer = -84 
minus eighty-five =  answer = -85 
minus eighty-six =  answer = -86 
minus eighty-seven =  answer = -87 
